Register_ID;Country;Validation;Began;Ended;Duration in Days;Dead;Displaced;Main cause;Severity;Affected sq km;Magnitude;Longitude of Centroid X;Latitude of Centroid Y;M>6;Total annual floods M>6;M>4;Total annual floods M>4;Date Began;Total floods M>6;Total floods M>4
4214;Columbia;News;01/11/2014;14/12/2014;44;44;0;Heavy Rain;1;406010;7.25;-75.54;4.59;1;98;1;199;01/11/2014;1110;3682
4213;USA;News;11/12/2014;14/12/2014;4;3;0;Torrential Rain;1;50236;5.3;-123.1;39.8;0;97;1;198;11/12/2014;1109;3681
4212;Brazil;News;10/12/2014;14/12/2014;5;0;0;Torrrential Rain;1;199807;6;-49.21;-24.85;0;97;1;197;10/12/2014;1109;3680
4211;Bulgaria;News;04/12/2014;14/12/2014;11;40;1000;Heavy Rain;1.5;147617;6.39;27.71;41.46;1;97;1;196;04/12/2014;1109;3679
4210;Palestine;News;26/11/2014;05/12/2014;10;0;300;Torrential Rain;1.5;2862;4.63;34.45;31.34;0;96;1;195;26/11/2014;1108;3678
4209;France;News;29/11/2014;05/12/2014;7;5;3000;Torrential Rain;1.5;123269;6.11;0.86;44;1;96;1;194;29/11/2014;1108;3677
4208;USA;News;01/12/2014;05/12/2014;5;0;40;Torrential Rain;1;202666;6.01;-117.21;35.43;1;95;1;193;01/12/2014;1107;3676
4207;Morocco;News;24/11/2014;05/12/2014;12;40;0;Heavy Rain;2;273694;6.82;-5.62;31.56;1;94;1;192;24/11/2014;1106;3675
4206;Thailand;News;07/11/2014;16/11/2014;10;0;1000;Monsoonal Rain;1;31653;5.5;99.52;8.02;0;93;1;191;07/11/2014;1105;3674
4205;Italy;News;12/11/2014;16/11/2014;5;5;0;Torrential Rain;1.5;36733;5.44;10.61;45.93;0;93;1;190;12/11/2014;1105;3673
4204;Indonesia;News;14/11/2014;16/11/2014;3;0;2400;Heavy Rain;1;57443;5.24;100.75;-1.03;0;93;1;189;14/11/2014;1105;3672
4203;France;News;13/11/2014;16/11/2014;4;5;0;Heavy Rain;1.5;36709;5.34;5.1;44.25;0;93;1;188;13/11/2014;1105;3671
4202;Greece;News;25/10/2014;27/10/2014;3;0;0;Torrential Rain;1;4855;4.16;23.42;38.17;0;93;1;187;25/10/2014;1105;3670
4201;Somalia;News;24/10/2014;16/11/2014;24;0;21000;Heavy Rain;1.5;42636;6.19;45.25;4.13;1;93;1;186;24/10/2014;1105;3669
4200;India;News;22/10/2014;27/10/2014;6;5;300;Monsoonal Rain;1;115476;5.84;78.26;10.29;0;92;1;185;22/10/2014;1104;3668
4199;Spain;News;19/10/2014;22/10/2014;4;1;0;Torrential Rain;1;7567;4.48;-16.53;28.28;0;92;1;184;19/10/2014;1104;3667
4198;India;News;12/10/2014;27/10/2014;16;42;0;Tropical Storm;1.5;376261;6.96;79.7;18.45;1;92;1;183;12/10/2014;1104;3666
